H_COUNTRY,1830,1835,1840,1845,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
Netherlands,,,,,,,,,,,,,,,,,,,,,1.3,0.6,,,0.6,0.02,0.22,0.11,0.8,6.64,6.9,9.59,43.38,40.7,55.6,37.48,136.35
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
Nicaragua,,,,,,,,,,,,,,,,,,,,,3.9,60,23.1,2.4,10,9.4,1.27,7.96,5.6,133.96,120.5,89.04,71.76,54.34,44.4,45.53,20.24
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1.2,0.02,0.03,0.15,0.00
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,57.9,68.1,45.2,12.1,18.2,15.6,8.2,5.3,0.05,0.03,0.05,0.01,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.19,5.85,0.7,0.02,1.01,1.05
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.01,0.6,3.69,12.39,4.6,0.45,2.07,0.61,0.85,0.84
Panama,,,,,,,,,,,,,,,,,,,,,81.9,142.2,39.6,69.5,236,275.1,271,334.74,600.12,495.98,504.23,685.04,745.29,618.47,489.28,352.48,271.47
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,0.01,2.3,0.5,3.32,2.7,0.11,0.01,0.07,1.1,0.09,0.08,0.07,6.97,24.44
Peru,,,,,,,,,,,,,,,,,,,,,0.7,0.1,0.1,0.2,2.3,0.5,0.6,0.72,0.89,1.1,0.89,0.63,0.46,4.07,0.86,0.05,0.73
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.03,106.79,822.74,922.71,789.25,839.78,1213.41,1599.93,1791.93,1590.07
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64,9.72,85,12.45
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.8,0.07,0.04,0.01,0.01,0.01,0.01,0.5,10.36,21.49,41.35,29.64
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.12,0.00
Republic of South Africa,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.8,0.3,0.23,0.46,0.02,0.03,0.04,0.8,0.11,2.15,0.05,0.71,0.64,0.33
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.01,0.08,0.00
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,12.08,4.63
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.02,0.03,0.05,0.07,0.05,0.01
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,3.63,8.27,1.63,0.82,0.64,0.67,2.25,20.48
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.063,0.015,0.02,0.14,0.5,0.01,0.052,0.01,0.03,0.027,0.01
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.3,0.72,0.6,0.015,0.017,0.014,0.013,0.012,0.01,0.015,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.26,6.38,5.27
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.26,18.37,32.04
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,0.7,15.2,8.9,12.1,18,48.3,84.32,99.29,100.24,81.84,49.97,45.3,58.04,21.7,14.1,0.03,0.02
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.82,1.44,0.51,0.7,
Spain,,,,,,,,,,,,,,,,,,,,,223.1,164.1,102,63.4,145.4,195,96.28,103.29,38.33,4.2,0.02,1.01,5.87,142.17,102.77,24.01,56.70
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.05,0.023,0.06,0.075,0.09,0.016,0.021,0.03,0.01,0.02,0.16,0.00
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.23,0.59,0.25,0.4,0.75,0.696,0.63,0.52,0.45,2.3,1.5,3.26
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.6,1.07,13.62,25.06,38.27,34.01,37.34,0.01,35.62,34.3,35.25,71.43
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.052,0.065,0.08,0.09,0.075,2.36,1.8,7.50
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.22,0.03,0.05,0.15,0.23,13.88,35.49,40.19
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.11,0.14,0.03,0.66,0.05,0.11,0.01,0.01,0.01,0.01
Syria,,,,,,,,,,,,,,,,,,,,,,0.03,0.7,0.3,0.1,0.7,0.03,0.04,0.023,0.012,0.018,0.023,0.035,0.02,0.01,0.01,0.00
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.45,0.6,0.06,0.045,0.02,0.075,0.01,0.02,0.03,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1.23,1.52,7.62,2.08,19.48,12.72,3.99,2.43,2.15,7.55,41.86,22.80
The Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,2.83,3.43,
The Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.016,0.032,0.04,0.065,0.08,0.12,0.69,0.01,0.02,0.00
